,reviewID,reviewContent,flagged
39359,JKsgNf8k1-YVL-TlprqvsQ,"I am a huge oyster person, loved the hama hama it's clean, fresh, highly recommended, the walleye was so delicious.  We even tried one of their sushi rolls, not bad!  This is a must return to place.",N
64527,e5kAHSdPfanRedY9mV9Jrw,"Excellent!!!  Great food, reasonable price, and always good service.  If you go on a weekend you'll need to anticipate about a 30-40 min wait if you arrive after 9:30.  They're very good at estimating wait times and are always withing a couple minutes of what they tell you.  They also have validated parking next door for $7.",Y
11443,3DX7DAo8Hs4DGIJY6tnj1w,"BEAUTIFUL patio outside!!  The location is so random.  Food was pretty good, not amazing.  Wine was great, and even cheap wine tastes good after it breathes for 20 minutes, or after a glass or so when you don't care as much.  Service initially seemed a little rushed but eventually matched our pace, which was slower when we went.  We only had to wait about 20 minutes for a table without a reservation which was nice.  However it was a little hard to get bar service.  But our cocktails were really really good!  Overall a nice place for a summer night.",N
38757,HH3wTL0t98M9ZZEKtKKF1Q,"I have been to Shaw's a few times over the years and recently celebrated my Boy Toys Birthday here.  It is his favorite restaurant in Chicago. I had only ever eaten in the casual bar area before, and this time we ate in the dining room.  On a Tuesday evening, it was noisy and bustling.  Perfect for the occasion!  The service was absolutely top notch.  We had oysters to start and a bottle of wine.  I had the salmon, my date had the crab.  I don't remember the dessert, because at that point we were finishing off our second bottle of wine.  I do remember that overall, my experience was wonderful! This is a great place to go with out-of-towners or business Associates.  It is a great place for a Birthday celebration or to celebrate a promotion.",N
45782,4sGk0iD67IMVRmG,Fast service and awesome food.  Burrata cheese and heirloom tomatoes on toast makes the best bruschetta I have ever had.,N
21618,Pn5MdxWOBNEwmTqIq4MXhQ,"This is my favorite sushi joint.  And it's BYOB, which always wins points in my book.  I have never had anything from here that was sub-par.   Often they have fatty toro, fatty hamachi or fatty salmon.  All of these things are incredible.  Their oysters are delicious.  I always want more of their ginger salad.  Their specials are always interesting.  I'm never afraid of trying something new here.   And you can eat and eat and eat and eat and you won't spend a ton of money.  Now, keep in mind, that any good sushi is somewhat pricey; however, the quality is supurb. And it's worth the amount on your check.  I even got my husband liking sushi by taking him here.  I call that a win for me.   I recommend a reservation because they get pretty busy.",N
55902,O6g4XEifvYDUTH1m1fOUnQ,"I've now been to Big Jones twice and have sampled their brunch AND their dinner. Man, this is one of my new favorite places! My brunch (which was months ago) was delicious - I had  the Cajun Pancakes and my friend had an omelette. The topper? for dessert we had the ""personal size red velvet cake"". They bake them one at a time and you have to give them about 15 minutes notice. Delicious. On that delicious meal, I chose Big Jones to bring an out of town friend. This time, I was trying the dinner. Just wonderful - great service, great food. I'll defintely be back.",N
39517,3wqEMXZWjtv7sOUNPfpLiw,"I love Meli..really really love it. Everything about their food tastes so delicious!! I always order something with their organic eggs mostly because I can actually taste the fluffy creaminess of them. Yum Yum Yum! I love their corn beef hash, which I always find myself ordering. But their sweet breakfast items are more than lip smacking! My absolute fav is their nutella crepe with fresh bananas. They're amazing! I do admit that they use a bit too much nutella, but who cares!! They're worth it. My dad who isn't a breakfast nut by any means can not get enough of their granola, which I always have to order a bag of to go. :) They prepare and make it in-house and it's the perfect mixture of granola, flax seeds, and dried fruit. I think the best I've ever tried to be honest! Meli is definitely the place to go for breakfast, brunch, or lunch. In fact, if they were open for dinner, I'd go there too. :) This location is definitely the place to be at. I was not a fan of their downtown location.",N
53548,0yGCpB0ZG2Z,"I like. As far as the place and the food is concerned, I think a 4 is appropriate. To be fair, I did have high expectation b/c of its ""sister"" restaurants, avec and blackbird, both of which-esp. avec--are better. However, I really liked the service, and that's the icing. I just went there for my husband's birthday, and apparently the server (the guy w/dreads) overheard us say something about his birthday and put a lit candle on our dessert (so sweet!). We also tried a lot of things and had changes yet he remembered everything w/out us even repeating it (though he had about 4 words on his pad). Anyway, the inside is pretty cool. They probably chopped down a forest to fashion this restaurant, but I still like it. LOVED the char on bread, my fries were just ok (but I guess you can only expect so much from fries, the mussels were pretty good (though the sauce they were served in was delicious and they gave you break to soak it up), and, what I waited for the entire night, the dessert waffle w/blueberries and honey butter (that's not completely true, I wanted the eclair but it was my husband's bday so he got to choose)was...meh. I would have given the place a 9 (I wish yelp started doing things out of 10), but I'm rounding up.",N
13138,09ldgYD5pZcvKfmZzFhlGQ,"Finally had the chance to eat at Piece since the wait was only 20 minutes at 6:00pm on a Saturday. The place was crowded but I am sure it gets much worse the later it gets. We ordered a large with sausage, tomato, and green peppers. The pizza was big enough for 4 of us except we split a couple of salads to start. The pizza was good but not great. The beer was good. The atmosphere was good. The only thing that is not good is how crowded it is all the time.",N
