,reviewerID,name,location,yelpJoinDate,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount
4,kW2dk1CWihmh3g7k9N2G8A,Shradha Vegetarianista A.,"Chicago, IL",July 2007,333,1209,61,1650,679,417,283,22,70
72,XFR4tfX0LFE079es_FlQzA,Lu H.,"Chicago, IL",July 2009,5,89,0,92,21,21,3,6,4
94,vv_YFEMLBVwFkxuFj0nISg,Scott Spitting out the future retrospect S.,"Leesburg, VA",November 2008,42,49,5,55,36,47,33,0,2
100,J5tJo-hoZtG6FNvllUDaJA,Carrie-C N.,"San Jose, CA",January 2008,34,258,1,144,67,51,11,0,3
108,_YH6rJGxcxc9nDY_-O2oiQ,Coleman B.,"Chicago, IL",July 2012,10,26,0,10,3,8,0,0,0
112,ir689oBNmrJXOspb4yq_Jg,Kim Threat Level Midnight K.,"Somerville, MA",January 2008,161,1238,104,988,493,256,145,18,30
145,89yr7wNIk8TE03yKfTRLuQ,Lindley E.,"Chicago, IL",October 2006,313,851,97,3042,2118,1814,1222,5,78
168,_qRV6YI3wm6hF0SF-2z8ng,Derrick T.,"Woodridge, IL",May 2008,67,227,9,370,161,110,141,26,12
171,m4yMNcpfHLAgvJJiXmBKDw,Helen Melon S.,"Washington, DC",September 2011,82,292,1,324,183,194,63,2,12
173,QLGrFmUwWFDbaJ3NQED0Qg,Thomas D.,"Irvine, CA",September 2009,81,233,1,225,127,53,68,0,6
201,ARXswZQ4aDfhPnMYSbzcSw,JR apple bottoms W.,"Chicago, IL",December 2008,19,264,29,252,90,83,44,0,4
230,sZxXpvmBUN2fSCtK_BZFoQ,Dane K.,"Chicago, IL",September 2006,295,845,143,2499,1451,1151,1377,2,55
242,OzdqM7BbvL27AnrTZ27g-w,Aurore French connection L.,"Chicago, IL",March 2008,430,658,40,4941,4481,4202,5403,100,81
336,L4CXCKMj2NDsr8fd2_XmkA,Misse You have one chance to impress me D.,"Chicago, IL",May 2006,178,580,65,971,401,260,164,0,27
371,VdTeE7P9AP-fj3ExmRhoEg,Sarah Blondie Z.,"Chicago, IL",September 2007,62,283,9,436,180,172,71,0,14
375,YFyn3Vq4PEP-GlC4MRsJNw,Kris L.,"Chicago, IL",August 2010,45,129,7,111,43,33,29,97,2
392,Lta4gndbbE4QKWbMn6Fmvw,Jiyoun jiji B.,"Chicago, IL",March 2010,7,99,2,100,25,34,13,31,7
396,kMD0WKlZFyCGn1t9R0GphA,Lauren LC C.,"Chicago, IL",November 2010,11,22,0,24,8,8,2,0,0
421,EeAqCDa8r-LFs2lYlgVQbA,Lucas El Tigre K.,"Seattle, WA",October 2010,24,21,0,28,8,18,1,0,0
423,ign-wXfFvXhgqYVTbxV3aA,Mehran i eat because i'm curious F.,"Chicago, IL",May 2007,148,114,9,194,107,95,130,0,9
426,Jrm34VNH85jMCtFevsSz6Q,Sue T.,"Naperville, IL",July 2008,15,130,27,78,15,19,12,4,2
427,frElgxnlsquzPA_UqFcCqA,Johnny R.,"Chicago, IL",April 2009,22,134,7,137,81,76,52,0,4
431,SrYQQ--e5LWbF5uAnPqbKw,S S.,"New York, NY",December 2009,2,46,2,59,16,34,2,0,3
432,0jcvdm56uvqE6OIqECegrQ,tr y.,"Chicago, IL",June 2009,80,155,10,214,99,133,27,0,5
475,DAE3Wofsr7w75ME9-jripw,Inna B.,"Chicago, IL",February 2008,11,68,1,51,10,25,7,1,3
481,5460EPo4tmHgV0P4_4bU7A,Andrew T.,"Chicago, IL",October 2010,37,23,0,8,1,1,1,0,1
493,A_6gdLke4noWZYSkmAZMsw,EV G.,"Chicago, IL",January 2008,5,58,1,72,20,16,9,0,0
495,8Z2LMmmicFC4DHOzFzVhIQ,Angela ChiAngie Z.,"Chicago, IL",December 2008,52,92,3,63,17,7,12,11,1
532,ic-w_tW3Kf2TZBKVBrctgw,Lim K.,"Urbandale, IA",November 2010,0,51,1,13,4,1,1,0,0
537,9tqN4bPGcjbViMCVm3qRwg,Josh B.,"Brooklyn, NY",October 2010,4,15,0,6,3,2,2,4,0
543,lDFHm9KO9qj3WlL8IH4Epw,Ceal P.,"Chicago, IL",February 2009,37,105,2,66,27,16,11,0,4
544,ahqGqdKc9Pn4dofAyxk-1g,Ben The Professor B.,"Lake Mary, FL",December 2008,23,169,10,124,62,52,32,1,8
569,Ljmc6NKau1e51c3kUwI4Lw,Katrina Kat S.,"Chicago, IL",December 2009,37,70,0,58,32,31,14,0,2
594,1B1ykKvGRpCMGtpzISkPMg,Jeff S.,"Chicago, IL",December 2006,5,28,1,36,20,9,7,0,1
667,IOIWtm13gnn5ar9IMOdL0Q,Thomas R.,"Chicago, IL",May 2008,0,80,4,42,9,21,4,0,0
695,e5tmvf1Lmo8skxtI7jSIyg,Dan M.,"Chicago, IL",July 2010,42,12,0,5,5,0,2,0,0
697,s6Co7kYTZCrJQPuuX8enBA,Scott D.,"Belmont, MI",August 2009,1,2,0,0,0,0,1,0,0
698,-U3o87ZrOBKDC4gKU12tGg,Candyce The Enabler P.,"Chicago, IL",September 2008,125,170,7,204,77,58,49,0,11
720,pQBzOro2WU9JjOBWmAtaQw,Lindsee mahna mahna R.,"Chicago, IL",March 2009,47,117,0,129,57,101,28,0,5
733,_2gssQkH_2VSgGREKdPxJQ,Emma L.,"Chicago, IL",April 2011,0,2,0,0,0,0,0,0,0
736,P1NI5QCqsFskRjucA3FNSg,Brad G.,"Scottsdale, AZ",May 2009,8,11,0,15,5,5,5,0,0
751,QFBkUD0LUOL8DiM_7IDvRQ,Ruth G.,"Chicago, IL",September 2008,10,36,0,3,1,2,2,0,1
799,VP7MygugFl4gduIATDyJzA,Katie G.,"Chicago, IL",April 2009,2,58,4,37,5,6,3,0,0
801,urj4QhiZkhoUA5mnENvubg,Candace Sherlockian D.,"Chicago, IL",August 2009,6,79,15,30,10,12,1,0,0
811,2wEk4aupLBXiNX1TK8TeFg,L L.,"Chicago, IL",August 2008,2,59,0,23,11,18,2,0,0
865,smfNzGHWjfT-3KXOpvo7ag,Katie M.,"Chicago, IL",July 2008,1,39,0,12,6,4,0,0,0
917,wDiM8hHdbXPY47Me32XVqQ,Juliana Snaps R.,"Chicago, IL",October 2010,35,223,13,117,37,28,20,54,2
955,FHfjAReTovbu0chLv-WGrQ,Allison Short Round M.,"Mountain View, CA",June 2011,96,444,36,359,227,246,154,79,8
957,bpf34V4QGtJjumrVPvhK8A,Michael Rhyno R.,"Chicago, IL",July 2010,21,121,4,131,41,33,8,33,2
1034,103a-2Z-BMl-PK5OHoLUBQ,Allison A.,"Chicago, IL",April 2011,20,17,0,17,3,3,0,0,0
1039,v0i50NSEIuWZpUpzy9bkFQ,"Brandie Ronin, but  I hope you Dance  T.","Chicago, IL",October 2007,29,150,17,716,482,387,440,0,12
1042,ETpvceVRtVLjhDEgugFieg,"Nick Less talking, more FUCing people M.","Chicago, IL",September 2006,287,794,76,4500,3972,3789,6985,4,62
1047,LZSlFD8e0-cyM6Gh7F2qXw,Kelly A.,"Chicago, IL",September 2008,25,96,2,124,78,13,8,0,0
1127,k2T6LCHjzD0hzMu8Lu6_Dw,Benjamin The Biscuit T.,"Chicago, IL",May 2010,0,13,0,16,8,14,1,0,0
1149,bmiAy-CdzxWPi3Yr_fljHw,Lizz K.,"Queens, NY",February 2010,293,264,9,2125,1899,1422,4344,34,56
1153,z96eQlEDrQVvxtKyymwTLg,Ermelinda Smiley C.,"Chicago, IL",April 2010,14,388,10,213,176,89,45,0,4
1166,GoWRHMIoJ_0anXEJsyKtxg,Lisa why is my glass empty L.,"Chicago, IL",July 2007,27,115,10,151,93,91,71,0,1
1200,9LWMPQI6x-yBUH7NIruIiw,Yara M.,"Chicago, IL",September 2009,25,14,1,5,2,1,1,0,0
1213,uARgL6GaLmh1fO5iGWDAEw,Demetrio P.,"Chicago, IL",June 2008,28,249,8,119,50,29,39,14,3
1236,2oeZGHwBrcN6_4gdos7d0g,Marie B.,"Chicago, IL",March 2008,17,104,0,34,14,7,5,3,0
1243,X6PZiFaqe6HTm2yVSbW_pQ,Kristi The New Mrs. Tanner!! H.,"Chicago, IL",August 2009,95,99,9,193,96,83,39,1,7
1247,DKMpCblFCdILcym7l7vvxg,Sonali Sugar Chickee K.,"Chicago, IL",July 2010,21,103,1,72,28,9,20,9,5
1266,-dHGCQcq6QYaG63AwJafjA,Kaitlin M.,"Chicago, IL",May 2010,49,193,1,121,31,53,32,37,6
1280,QL3teetvs5_LXFdFl-L0sQ,Esfand N.,"Chicago, IL",November 2009,3,5,0,5,0,1,0,0,0
1292,P_pk7ld02y4Cf7S-DOwIzw,Sandra Gardenia T.,"Chicago, IL",January 2010,99,178,12,435,391,249,344,233,6
1302,q5KUiBkq_zHdr-AAQH9TuQ,Jeff V.,"Omaha, NE",August 2010,5,27,0,6,1,1,1,0,0
1303,93K780BHISH5Js0a7GGTpA,K KiCkZ C.,"Chicago, IL",December 2009,13,18,0,35,28,5,6,0,1
1351,wiUTLIYjMa4R3xlc4f-29g,Kelli Just Sloopin' B.,"Chicago, IL",November 2006,56,228,12,245,162,134,82,15,4
1362,Upm_bCPQMo4XsK7kKBUmxg,Michelle L.,"Chicago, IL",January 2010,16,65,0,52,24,12,6,0,1
1379,nOs7s96Vmz9Emn7IIsLTeg,Kori E.,"Chicago, IL",April 2007,48,252,3,215,76,45,33,0,6
1406,7clk7hJlh9U5Kkwq7IGLEw,a w.,"Chicago, IL",July 2005,25,1220,812,910,360,195,24,0,8
1416,SDURW9xVesI7-Yl9naeEog,Nancy H.,"Chicago, IL",December 2006,50,450,19,894,494,323,315,0,25
1417,aO80U8bsnvNIZbz_EjwDnA,Tiffany A.,"Chicago, IL",March 2008,9,17,0,16,5,5,1,0,0
1420,VyRICVwE3VfGynw5ly2oBA,Jennifer The Yelpinator Q.,"Chicago, IL",July 2008,128,667,134,895,662,541,159,14,12
1444,NGx5ldioX0x45ZlbU5d_lg,Ben O.,"Chicago, IL",February 2010,30,78,1,80,59,214,30,0,3
1486,YpL_k2GqiH2ba28MoJ4PYA,Eddie O.,"Chicago, IL",April 2006,3,50,0,63,9,1,8,0,0
1581,bBfFWhPxKT9zVP1nbwZabw,Kristina D.,"Chicago, IL",December 2007,4,41,2,65,11,19,5,0,0
1585,G8a3N89M94gK1mhKxOi11g,andrea s.,"Chicago, IL",April 2007,0,20,0,4,2,0,0,0,0
1594,rrbYj4aUXxVezTqaE6lUkA,WEEZY M.,"Chicago, IL",February 2009,0,8,1,4,1,0,4,1,0
1606,TnPIPgggFT5zRlkGsWBUUw,Brit T.,"Chicago, IL",June 2009,1,43,0,12,3,1,1,0,0
1771,FqHNMGc_-BgX4svll0SwLg,Rose ShinyHappyRosy D.,"Elgin, IL",June 2009,90,164,8,333,188,147,360,33,9
1772,ZRjOhSGFRBq3mR59FDCTbA,Kristine P.,"Addison, IL",September 2011,15,3,0,0,0,0,1,7,0
1843,vJ-WvNDas79lT6VJC2cQxQ,Anne C.,"Chicago, IL",January 2009,21,183,6,119,33,27,7,0,5
1897,iz-2dc1L2eB567Cck0lKZQ,Kerri A.,"Chicago, IL",December 2007,41,24,0,23,10,7,2,0,0
1907,TZOnNuNnpABDLNStsw8FhA,Derek S.,"Chicago, IL",April 2012,0,1,0,0,0,0,0,0,0
1911,edWTFOzip6DF1mgmGu6TTg,Jacques M.,"Chicago, IL",January 2010,21,136,5,101,52,59,26,0,1
1938,C5JKTHgaLIC2jbY7rRaR-Q,Nick M.,"Chicago, IL",September 2009,3,29,2,7,4,1,0,0,0
1942,2fpsA44c7OBspeTK535hTw,k. m.,"Chicago, IL",June 2008,2,37,0,11,2,1,2,0,0
1999,f78YVYC2MAVkqx-9RtV96g,Lohanna H.,"Chicago, IL",May 2011,0,6,0,3,0,0,0,0,0
2002,Q_fF04Uu5eAo0D-b3FqaYQ,Judy itsjudes L.,"Glenview, IL",June 2009,22,155,4,115,53,36,20,0,3
2019,iJALEvsls-vbOjVXpHjPqw,Patti B.,"Evanston, IL",April 2007,21,84,3,74,43,15,38,0,1
2027,0XwEqX7IPU1uWYeel9L69Q,Brandi S.,"Templeton, CA",April 2007,59,64,2,69,27,18,7,0,4
2033,nI63GsmmFKxBGgVUBw8c5A,Tim The Condiment King of Chicago J.,"Chicago, IL",January 2009,2,12,0,11,5,2,1,0,0
